cook1ewooki, LOL
, 2023-09-10 4:14:04 AM
MaxxxPool, D:
, 2023-09-10 4:14:04 AM
frostbitess, KEKW
, 2023-09-10 4:14:04 AM
AnotherChatter, D: WTF
, 2023-09-10 4:14:04 AM
bruceleehongkong, lol
, 2023-09-10 4:14:04 AM
flightless_bird, too far
, 2023-09-10 4:14:05 AM
ZumyPC, D:
, 2023-09-10 4:14:05 AM
adriansk_1107, D:
, 2023-09-10 4:14:05 AM
lostbvllet, Sadge
, 2023-09-10 4:14:06 AM
florusRL, D:
, 2023-09-10 4:14:06 AM
?????????????????????, D:
, 2023-09-10 4:14:06 AM
OnQore, D:
, 2023-09-10 4:14:06 AM
donny_xd, D:
, 2023-09-10 4:14:07 AM
Provoking, 1024x768 is amazing
, 2023-09-10 4:14:07 AM
yabiteezy2001, lmaooo
, 2023-09-10 4:14:07 AM
BO0who, D: B
, 2023-09-10 4:14:07 AM
crystalConnexion, D:
, 2023-09-10 4:14:08 AM
tony12pl, D:
, 2023-09-10 4:14:09 AM
rai47_, D:
, 2023-09-10 4:14:09 AM
ExusiaiArknights, D:
, 2023-09-10 4:14:09 AM
Sarcueidre, lmao
, 2023-09-10 4:14:10 AM
garuishni, D:
, 2023-09-10 4:14:13 AM
AnotherChatter, HUH
, 2023-09-10 4:14:13 AM
Umduhm, is p2000 meta now?
, 2023-09-10 4:14:13 AM
shiv583, SLUGBO A BITCH
, 2023-09-10 4:14:14 AM
FlamingoTaco, HUH
, 2023-09-10 4:14:15 AM
acro233, D:
, 2023-09-10 4:14:15 AM
aq0ny, gachiBASS
, 2023-09-10 4:14:15 AM
OnQore, HUH
, 2023-09-10 4:14:15 AM
Dem1zeLIVE, HUHH
, 2023-09-10 4:14:16 AM
imarcelofp, !res
, 2023-09-10 4:14:16 AM
Fossabot, @imarcelofp He plays at 2560 x 1440
, 2023-09-10 4:14:17 AM
47sorcerers, no f me please
, 2023-09-10 4:14:17 AM
bloodbracelets, 4:3 is placebo effect it does nothing
, 2023-09-10 4:14:17 AM
frostbitess, fuck em good
, 2023-09-10 4:14:17 AM
islam1ke, he is just doing his job
, 2023-09-10 4:14:18 AM
speaking_Light, D:
, 2023-09-10 4:14:18 AM
ZumyPC, HUh
, 2023-09-10 4:14:18 AM
kraig_gg, HUH
, 2023-09-10 4:14:19 AM
J3TS0N_, HUH
, 2023-09-10 4:14:19 AM
razzotheceo, peepoHappy
, 2023-09-10 4:14:19 AM
channel1_, When is this game out?
, 2023-09-10 4:14:20 AM
shiv583, EWWWWWWW
, 2023-09-10 4:14:20 AM
dapapss, HUHH
, 2023-09-10 4:14:20 AM
preeeemo, @Umduhm no
, 2023-09-10 4:14:21 AM
ska7z, KEKW
, 2023-09-10 4:14:22 AM
sh1rigami, how do i play cs2 is it out?
, 2023-09-10 4:14:23 AM
kurib, he can take them all
, 2023-09-10 4:14:25 AM
whosdasuit, rage
, 2023-09-10 4:14:26 AM
Sarcueidre, we are in the family show now KEKW
, 2023-09-10 4:14:27 AM
TvFilthyFrankuu, to be her HUH
, 2023-09-10 4:14:30 AM
Fossabot, Subscribe to my YouTube Channel: https://www.youtube.com/shroud
, 2023-09-10 4:14:30 AM
40vek, HUHH
, 2023-09-10 4:14:31 AM
IIIKRYPTIK, no lube
, 2023-09-10 4:14:31 AM
Agon_VI, @chipili12 he asked for it duede
, 2023-09-10 4:14:31 AM
Flexeria, how to equip usp chat?
, 2023-09-10 4:14:33 AM
patback93, new pistols sound like pea shooters lol
, 2023-09-10 4:14:35 AM
Umduhm, @Umduhm just wondering cuz shroud and now his teammate i see using it
, 2023-09-10 4:14:36 AM
theneonphantom311, h     ttps://www.twitch.tv/theneonphantom311
, 2023-09-10 4:14:38 AM
Tobssessxic, D: ???? D: ???? D: ????
, 2023-09-10 4:14:38 AM
ZumyPC, he is grnad fan
, 2023-09-10 4:14:38 AM
kevinonyou, Nttt
, 2023-09-10 4:14:41 AM
47sorcerers, mhmm right there
, 2023-09-10 4:14:42 AM
Agon_VI, mods
, 2023-09-10 4:14:45 AM
yabiteezy2001, skill diff
, 2023-09-10 4:14:47 AM
thep1g3on, mosda
, 2023-09-10 4:14:49 AM
c0refreAk, L PepeLaugh
, 2023-09-10 4:14:49 AM
epicperson1515, THAT WAS ME
, 2023-09-10 4:14:51 AM
vrtualgrlfriend, @bloodbracelets i dont think anyone has said it does anything , it does stretch models and let them be able to be seen easier but thats just fact
, 2023-09-10 4:14:53 AM
sbgamerexam, camp~ StinkyGlitch
, 2023-09-10 4:14:54 AM
spackle_pirate, get kekd PepeLaugh
, 2023-09-10 4:14:54 AM
AnotherChatter, MODS haHAA
, 2023-09-10 4:14:56 AM
Technical_13, shroud has been gaming lately i love it
, 2023-09-10 4:14:57 AM
Agon_VI, modCheck
, 2023-09-10 4:14:58 AM
40vek, Mikey back at it again
, 2023-09-10 4:14:59 AM
4orKe, modCheck
, 2023-09-10 4:15:01 AM
ineecy, wait a minutes why was there so much lag with the sound and kill there lmfao?
, 2023-09-10 4:15:01 AM
Fossabot, Subscribe to my second YouTube Channel: https://www.youtube.com/channel/UCmteEZzq7A2qVtXPMeYhAHg/videos
, 2023-09-10 4:15:02 AM
arthurshowpenhowzer, nothing on the gun? Pog
, 2023-09-10 4:15:04 AM
thep1g3on, @theneonphantom311 sorry bud, we're here to watch shroud
, 2023-09-10 4:15:04 AM
chipili12, @sh1rigami Be on a region where they have servers for it + play ranked for a while
, 2023-09-10 4:15:04 AM
hyfrenew, Can you install mods in CS2? like ONCES AND FOR ALL anime girls etc, this game is lacking so hard in that department
, 2023-09-10 4:15:06 AM
DX_Ninja_DX, MODS
, 2023-09-10 4:15:07 AM
chico_owa, look at ther enemy's bottom frag
, 2023-09-10 4:15:08 AM
hakuuya_, p2k is goated
, 2023-09-10 4:15:09 AM
yabiteezy2001, cs2 better than valo in many ways
, 2023-09-10 4:15:10 AM
Umduhm, well doesnt p200 have one more bullet in mag?
, 2023-09-10 4:15:14 AM
dawaeqw, p250 better
, 2023-09-10 4:15:15 AM
jestterbii2, what is shroud nationality?
, 2023-09-10 4:15:16 AM
AnotherChatter, MODS I SEEN A BAD WORD
, 2023-09-10 4:15:20 AM
ermaltopalli, modCheck
, 2023-09-10 4:15:21 AM
bloodbracelets, @vrtualgrlfriend it doesnt stretch models it stretches your whole image lol it's literally useless
, 2023-09-10 4:15:22 AM
chipili12, @hyfrenew Coomer
, 2023-09-10 4:15:23 AM
islam1ke, i love the fact that valve needed 10 years to nerf the awp
, 2023-09-10 4:15:23 AM
jack934934, Modscheck @theneonphantom311 Just self advertising KEKW
, 2023-09-10 4:15:27 AM
??????????????????, is p2000 better than usp now?
, 2023-09-10 4:15:28 AM
bunnyloft, usp crispier to shoot
, 2023-09-10 4:15:28 AM
hyfrenew, @jestterbii2 he is from Latvia
, 2023-09-10 4:15:29 AM
betokefumez, Hi shroud
, 2023-09-10 4:15:36 AM
notcognac, p2k has way higher moving accuracy
, 2023-09-10 4:15:38 AM
vrtualgrlfriend, @bloodbracelets stretching your whole image also stretches the models :)
, 2023-09-10 4:15:41 AM
mgalli_, lmao
, 2023-09-10 4:15:43 AM
zwixd, !settings
, 2023-09-10 4:15:44 AM
drowlerz, @hyfrenew chill weeb
, 2023-09-10 4:15:45 AM
Fossabot, @zwixd, Looking for settings for a specific game? Try the game name followed by settings - like !eftsettings or !warzonesettings
, 2023-09-10 4:15:45 AM
rompso7060, LUL
, 2023-09-10 4:15:45 AM
Dem1zeLIVE, lol
, 2023-09-10 4:15:45 AM
def4ultmaster, the awp didn't need nerfing
, 2023-09-10 4:15:48 AM
tngermainee, It???s a mid off
, 2023-09-10 4:15:48 AM
paperi, @jestterbii2 canadian goose with polish roots
, 2023-09-10 4:15:49 AM
JaL1LAgger, xD
, 2023-09-10 4:15:52 AM
xBlitzTV, rooting for the wrong team here KEKW
, 2023-09-10 4:15:56 AM
jestterbii2, @hyfrenew ok thanks
, 2023-09-10 4:16:05 AM
flightless_bird, who asked
, 2023-09-10 4:16:05 AM
St3amroller, another close match
, 2023-09-10 4:16:06 AM
Sega_BE, bring back 1.6 awp
, 2023-09-10 4:16:07 AM
AnotherChatter, HUH
, 2023-09-10 4:16:07 AM
thedivinehero, don't lose
, 2023-09-10 4:16:07 AM
iinfinity1, ew
, 2023-09-10 4:16:08 AM
hyfrenew, @drowlerz you jelly you dont weeb enough
, 2023-09-10 4:16:08 AM
phatlantis, DansGame
, 2023-09-10 4:16:09 AM
Dabezbabez, !irlsettings
, 2023-09-10 4:16:09 AM
uEnvy_, Stare
, 2023-09-10 4:16:09 AM
Dem1zeLIVE, HUHH
, 2023-09-10 4:16:10 AM
DX_Ninja_DX, @jestterbii2 LUL
, 2023-09-10 4:16:10 AM
rushbrando, yum :
, 2023-09-10 4:16:10 AM
imkuro7, EWW
, 2023-09-10 4:16:11 AM
J3TS0N_, HUH ????
, 2023-09-10 4:16:11 AM
the_fartsoda, yum
, 2023-09-10 4:16:11 AM
Alucard_KOD, yum]
, 2023-09-10 4:16:12 AM
ItsTrevway, hate when that happens
, 2023-09-10 4:16:12 AM
arteyosu, YUMMY
, 2023-09-10 4:16:12 AM
rushbrando, :)
, 2023-09-10 4:16:13 AM
inescapablexd, ??
, 2023-09-10 4:16:13 AM
BO0who, UHMM
, 2023-09-10 4:16:13 AM
Technical_13, WutFace
, 2023-09-10 4:16:13 AM
ItsJustKuma, das hot
, 2023-09-10 4:16:13 AM
ezpogg, HUH
, 2023-09-10 4:16:14 AM
repeated1, yummy
, 2023-09-10 4:16:15 AM
kevinonyou, Yummy
, 2023-09-10 4:16:15 AM
bloodbracelets, @vrtualgrlfriend which is useless. its the same as just using 16:9 you just lose fov
, 2023-09-10 4:16:15 AM
preeeemo, OpieOP
, 2023-09-10 4:16:15 AM
dapapss, HUHH ????
, 2023-09-10 4:16:15 AM
razzotheceo, HUH
, 2023-09-10 4:16:15 AM
ZumyPC, HUH
, 2023-09-10 4:16:16 AM
genetic_lemon, wtf
, 2023-09-10 4:16:16 AM
W_key_enjoyer_, im eating...
, 2023-09-10 4:16:16 AM
kovfefe69, Pog
, 2023-09-10 4:16:16 AM
lync1x, ??
, 2023-09-10 4:16:17 AM
AnotherChatter, when does CS2 release
, 2023-09-10 4:16:17 AM
Maedry, Kreygasm send me it
, 2023-09-10 4:16:17 AM
hakuq_0, yuss
, 2023-09-10 4:16:17 AM
Parasocializing, Ok
, 2023-09-10 4:16:18 AM
JuxyGG, ewwwwwwwwwwwwwwww
, 2023-09-10 4:16:18 AM
ShaneOwens0, Nasty
, 2023-09-10 4:16:18 AM
RanzerPls, HUH
, 2023-09-10 4:16:18 AM
Oshean16, HUH
, 2023-09-10 4:16:19 AM
OrcalaFF, yum
, 2023-09-10 4:16:19 AM
cocobinomialpuffs, 2nd breakfast
, 2023-09-10 4:16:19 AM
howimetyourcarry, is it shrood or shroud
, 2023-09-10 4:16:20 AM
DX_Ninja_DX, yummy
, 2023-09-10 4:16:20 AM
ItsCynLive, average cs2 experience
, 2023-09-10 4:16:21 AM
codo_, D:
, 2023-09-10 4:16:21 AM
TopFragDad, Time for some OMEPREZOL
, 2023-09-10 4:16:21 AM
t0kennd, i eat grool
, 2023-09-10 4:16:21 AM
Eyezikk_, we call that secind dinner
, 2023-09-10 4:16:22 AM
Yummy_fruits, yummy
, 2023-09-10 4:16:23 AM
CoolSmek, that's called twice dinne
, 2023-09-10 4:16:24 AM
DennyTrix, peepoSad
, 2023-09-10 4:16:24 AM
jo_bastos, lmaoooo
, 2023-09-10 4:16:24 AM
bard_of_avon7, Yikes Kreygasm
, 2023-09-10 4:16:24 AM
rai47_, NaM
, 2023-09-10 4:16:24 AM
AnotherChatter, Is it the 28th
, 2023-09-10 4:16:27 AM
BolognaShip, So much to do so much  to see. so whats wrong with takin the backstreet?
, 2023-09-10 4:16:27 AM
Provoking, @shroud try M4A4 i???ve been enjoying it a lot more that the S
, 2023-09-10 4:16:27 AM
dapapss, sHROOD
, 2023-09-10 4:16:29 AM
MaxxxPool, wait it was just 8-3 what happend
, 2023-09-10 4:16:29 AM
Jindsu, LUL Flavor Saver
, 2023-09-10 4:16:30 AM
imkuro7, @AnotherChatter winter 2024
, 2023-09-10 4:16:32 AM
aq0ny, @bloodbracelets in valorant its useless in cs it actually stretches the models
, 2023-09-10 4:16:33 AM
donny_xd, @CoolSmek leftovers
, 2023-09-10 4:16:35 AM
horstee, does shroud actually use logitech g303
, 2023-09-10 4:16:38 AM
Fossabot, Check out Mike's Instagram account - http://www.instagram.com/shroud :D
, 2023-09-10 4:16:40 AM
AnotherChatter, @imkuro7 really...
, 2023-09-10 4:16:41 AM
Technical_13, what about second breakfast
, 2023-09-10 4:16:41 AM
friend_001, shrut
, 2023-09-10 4:16:41 AM
lonewolf_1930, @shroud play with M0e and stewie
, 2023-09-10 4:16:45 AM
heydizo, !mouse
, 2023-09-10 4:16:49 AM
Fossabot, @heydizo He's using the Logitech G303 Shroud Edition Wireless - With a Logitech G840 XL Gaming Mousepad shroud Edition. Grab one while you can!
, 2023-09-10 4:16:49 AM
nadleeeeh, !squad
, 2023-09-10 4:16:49 AM
Fossabot, @nadleeeeh, He's playing with Just9n
, 2023-09-10 4:16:50 AM
ZumyPC, @horstee trying the superlight 2 rn
, 2023-09-10 4:16:53 AM
IIIKRYPTIK, food recycler
, 2023-09-10 4:16:55 AM
vrtualgrlfriend, @bloodbracelets this isnt valorant bro
, 2023-09-10 4:16:56 AM
spackle_pirate, KEKW
, 2023-09-10 4:16:57 AM
thedivinehero, Come on shroud you got this!
, 2023-09-10 4:17:00 AM
ItsJustKuma, I havent played dust 2 AT ALL on comp
, 2023-09-10 4:17:02 AM
jhinsnirico, GERD moment
, 2023-09-10 4:17:02 AM
Timmy_0925, !time
, 2023-09-10 4:17:04 AM
horstee, ty @ZumyPC
, 2023-09-10 4:17:04 AM
Fossabot, @Timmy_0925 Mike's local date/time is Sat, Sep 9th - 09:17PM PDT
, 2023-09-10 4:17:04 AM
